Year,Month,Mdate,Sensor_Name,Count,Rank
2009,December,27,Flinders Street Station Underpass,18989,6.0
2009,December,27,Australia on Collins,12335,7.0
2009,December,27,State Library,11371,8.0
2009,December,27,Waterfront City,10704,9.0
2009,December,27,Birrarung Marr,9405,10.0
2009,December,28,Town Hall (West),34954,1.0
2009,December,28,Bourke Street Mall (South),29459,2.0
2009,December,28,Bourke Street Mall (North),24597,3.0
2009,December,28,Melbourne Central,23573,4.0
2009,December,28,Princes Bridge,20804,5.0
2009,December,28,Flinders Street Station Underpass,19218,6.0
2009,December,28,Australia on Collins,13956,7.0
2009,December,28,State Library,11904,8.0
2009,December,28,Birrarung Marr,8759,9.0
2009,December,28,Sandridge Bridge,7824,10.0
2009,December,29,Town Hall (West),37399,1.0
2009,December,29,Bourke Street Mall (South),32517,2.0
2009,December,29,Bourke Street Mall (North),26607,3.0
2009,December,29,Melbourne Central,24638,4.0
2009,December,29,Flinders Street Station Underpass,23302,5.0
2009,December,29,Princes Bridge,21498,6.0
2009,December,29,Australia on Collins,18359,7.0
2009,December,29,State Library,13512,8.0
2009,December,29,Flagstaff Station,8852,9.0
2009,December,29,Collins Place (South),8115,10.0
